model,version,variables,constraints,nonzeros
744.mps,original,31278,39443,107050
744.mps,jump_conic_dual,70731,31278,138338
744.mps,general_dual,39453,31278,107060
1416.mps,original,59502,75059,203769
1416.mps,jump_conic_dual,134571,59502,263281
1416.mps,general_dual,75069,59502,203779
2160.mps,original,90750,114491,310934
2160.mps,jump_conic_dual,205251,90750,401694
2160.mps,general_dual,114501,90750,310944
2880.mps,original,120990,152651,414731
2880.mps,jump_conic_dual,273651,120990,535731
2880.mps,general_dual,152661,120990,414741
3624.mps,original,152238,192083,522081
3624.mps,jump_conic_dual,344331,152238,674329
3624.mps,general_dual,192093,152238,522091
4344.mps,original,182478,230243,626039
4344.mps,jump_conic_dual,412731,182478,808527
4344.mps,general_dual,230253,182478,626049
5088.mps,original,213726,269675,733488
5088.mps,jump_conic_dual,483411,213726,947224
5088.mps,general_dual,269685,213726,733498
5832.mps,original,244974,309107,840857
5832.mps,jump_conic_dual,554091,244974,1085841
5832.mps,general_dual,309117,244974,840867
6552.mps,original,275214,347267,944681
6552.mps,jump_conic_dual,622491,275214,1219905
6552.mps,general_dual,347277,275214,944691
7296.mps,original,306462,386699,1051827
7296.mps,jump_conic_dual,693171,306462,1358299
7296.mps,general_dual,386709,306462,1051837
8016.mps,original,336702,424859,1155416
8016.mps,jump_conic_dual,761571,336702,1492128
8016.mps,general_dual,424869,336702,1155426
8760.mps,original,367950,464291,1262403
8760.mps,jump_conic_dual,832251,367950,1630363
8760.mps,general_dual,464301,367950,1262413
